review,sentiments,word_count,tokens_count,clean_review
"A week later after I activated it, it suddenly died.",0,10,12,week later activated suddenly died
It feels more comfortable than most headsets because I wear glasses and that gets in the way sometimes.,1,18,19,feels comfortable headsets wear glasses gets way sometimes
Great for iPODs too.,1,4,5,great ipods
This device is great in several situations:1.),1,7,9,device great several situations
Mic Doesn't work.,0,3,5,mic work
"Even in my BMW 3 series which is fairly quiet, I have trouble hearing what the other person is saying.",0,20,22,even bmw series fairly quiet trouble hearing person saying
Great choice!,1,2,3,great choice
Nice docking station for home or work.,1,7,8,nice docking station home work
This is a beautiful phone.,1,5,6,beautiful phone
Love this product.,1,3,4,love product
Do Not Buy for D807...wrongly advertised for D807.,0,8,11,buy wrongly advertised
This is a great little item.,1,6,7,great little item
"I love this phone , It is very handy and has a lot of features .",1,16,16,love phone handy lot features
I purchased this and within 2 days it was no longer working!!!!!!!!!,0,12,21,purchased within days longer working
I wear it everyday and it holds up very well.,1,10,11,wear everyday holds well
Not a good bargain.,0,4,5,good bargain
"Well packaged, arrived on time, and works as intended.",1,9,12,well packaged arrived time works intended
The battery runs down quickly.,0,5,6,battery runs quickly
"This item worked great, but it broke after 6 months of use.",0,12,14,item worked great broke months use
The headsets are easy to use and everyone loves them.,1,10,11,headsets easy use everyone loves
This phone works great.,1,4,5,phone works great
The construction of the headsets is poor.,0,7,8,construction headsets poor
Product was excellent and works better than the verizon one and Boy was it cheaper!,1,15,16,product excellent works better verizon one boy cheaper
The phone loads super!,1,4,5,phone loads super
"For a product that costs as much as this one does, I expect it to work far better and with greater ease than this thing does.",0,26,28,product costs much one expect work far better greater ease thing
Made very sturdy.,1,3,4,made sturdy
Worked great!.,1,2,4,worked great
The ear buds only play music in one ear.,0,9,10,ear buds play music one ear
Dont waste your money...,0,4,5,dont waste money
Will order from them again!,1,5,6,order
If you plan to use this in a car forget about it.,0,12,13,plan use car forget
I found this product to be waaay too big.,0,9,10,found product waaay big
Best I've found so far .... I've tried 2 other bluetooths and this one has the best quality (for both me and the listener) as well as ease of using.,1,30,35,best found far tried bluetooths one best quality listener well ease using
I'm very disappointed with my decision.,0,6,8,disappointed decision
Integrated seamlessly with the Motorola RAZR phone.,1,7,8,integrated seamlessly motorola razr phone
"Buyer Beware, you could flush money right down the toilet.",0,10,12,buyer beware could flush money right toilet
Definitely a bargain.,1,3,4,definitely bargain
The price was very good and with the free shipping and all it was a good purchase.,1,17,18,price good free shipping good purchase
I received my supposedly new motorola 375 and apparently there was not a match between the phone and the charger.,0,20,21,received supposedly new motorola apparently match phone charger
"Pros:-Good camera - very nice pictures , also has cool styles like black and white, and more.",1,17,21,pros good camera nice pictures also cool styles like black white
"That's a huge design flaw (unless I'm not using it correctly, which I don't think is the case).",0,18,25,huge design flaw unless using correctly think case
"I love my 350 headset.. My Jabra350 bluetooth headset is great, the reception is very good and the ear piece is a comfortable fit.",1,24,27,love headset jabra bluetooth headset great reception good ear piece comfortable fit
"The camera, although rated at an impressive 1.3 megapixels, renders images that fall well below expectations of such a relatively high resolution.",0,22,25,camera although rated impressive megapixels renders images fall well expectations relatively high resolution
I purcashed this for the car charger and it does not work.,0,12,13,purcashed car charger work
"Sound quality on both end is excellent, I use headset to call my wife and ask my wife to use headset to call me !2.",1,25,28,sound quality end excellent use headset call wife ask wife use headset call
This phone is slim and light and the display is beautiful.,1,11,12,phone slim light display beautiful
its a little geeky but i think thats its sex on toast and it rocks and oozes sex right down to its battery embedded sleek stylish leather case.,1,28,29,little geeky think thats sex toast rocks oozes sex right battery embedded sleek stylish leather case
"Great product, fast shipping!.",1,4,7,great product fast shipping
Absolutely great.,1,2,3,absolutely great
The keyboard is a nice compromise between a full QWERTY and the basic cell phone number keypad.,1,17,18,keyboard nice compromise full qwerty basic cell phone number keypad
i got this phone around the end of may and i'm completely unhappy with it.,0,15,17,got phone around end may completely unhappy
It is very comfortable on the ear.,1,7,8,comfortable ear
It has been a winner for us.,1,7,8,winner us
)Setup couldn't have been simpler.,1,5,8,setup simpler
I've tried several different earpieces for my cell phone and this Jabra one is the first one I've found that fits my ear comfortably.,1,24,27,tried several different earpieces cell phone jabra one first one found fits ear comfortably
Could not get strong enough signal.,0,6,7,could get strong enough signal
Iam very pleased with my purchase.,1,6,7,iam pleased purchase
Bad Quality.,0,2,3,bad quality
Gets the job done.,1,4,5,gets job done
Great audio!.,1,2,4,great audio
Basically the service was very bad.,0,6,7,basically service bad
it did not work in my cell phone plug i am very up set with the charger!.,0,17,19,work cell phone plug set charger
"I've only had my bluetooth for a few weeks, but I really like it.",1,14,17,bluetooth weeks really like
The BT headset was such a disapoinment.,0,7,8,bt headset disapoinment
It is so small and you don't even realize that it is there after a while of getting used to it.,1,21,23,small even realize getting used
The accompanied software is almost brilliant.,1,6,7,accompanied software almost brilliant
Headset works great & was packaged nicely to avoid any damage.,1,11,12,headset works great packaged nicely avoid damage
!I definitly recommend!!,1,3,6,definitly recommend
Buyer--Be Very Careful!!!!!.,0,3,11,buyer careful
The majority of the Logitech earbud headsets failed.,0,8,9,majority logitech earbud headsets failed
Very good stuff for the price.,1,6,7,good stuff price
My headset works just peachy-keen.,1,5,6,headset works peachy keen
In my house I was getting dropped coverage upstairs and no coverage in my basement.,0,15,16,house getting dropped coverage upstairs coverage basement
Voice recognition is tremendous!,1,4,5,voice recognition tremendous
What a waste.,0,3,4,waste
"During several different 2 minute calls, I experienced 5 drops and it was in an area that had 5 bars.",0,20,22,several different minute calls experienced drops area bars
I was not happy with this item.,0,7,8,happy item
very disappointed.,0,2,3,disappointed
The phone takes FOREVER to charge like 2 to 5 hours literally.,0,12,13,phone takes forever charge like hours literally
I got this phone on reccomendation from a relative and I'm glad I did.,1,14,16,got phone reccomendation relative glad
What a waste of time!,0,5,6,waste time
Its reception is very very poor.,0,6,7,reception poor
Items stated as included from the description ARE NOT INCLUDED.,0,10,11,items stated included description included
"After 3 months, screen just went black all of a sudden.",0,11,13,months screen went black sudden
I Was Hoping for More.,0,5,6,hoping
"Audio Quality is poor, very poor.",0,6,8,audio quality poor poor
I had absolutely no problem with this headset linking to my 8530 Blackberry Curve!,1,14,15,absolutely problem headset linking blackberry curve
"I know that sounds funny, but to me it seemed like sketchy technology that wouldn't work well.Well, this one works great.",1,21,25,know sounds funny seemed like sketchy technology work well well one works great
I've bought $5 wired headphones that sound better than these.,0,10,13,bought $ wired headphones sound better
This phone is very fast with sending any kind of messages and web browsing is significantly faster than previous phones i have used.,1,23,24,phone fast sending kind messages web browsing significantly faster previous phones used
"Nice quality build, unlike some cheap s*** out there.",1,9,14,nice quality build unlike cheap
This item is fantastic and works perfectly!,1,7,8,item fantastic works perfectly
And I just love the colors!,1,6,7,love colors
W810i is just SUPERB.,1,4,5,wi superb
"All I can do is whine on the Internet, so here it goes.The more I use the thing the less I like it.",0,23,25,whine internet goes use thing less like
Great charger.,1,2,3,great charger
This is essentially a communications tool that does not communicate.,0,10,11,essentially communications tool communicate
Works like a charm; it work the same as the one I got with the phone.,1,16,18,works like charm work one got phone
"I still maintain that monkeys shouldn't make headphones, we just obviously don't share enough DNA to copy the design over to humans.",0,22,26,still maintain monkeys make headphones obviously share enough dna copy design humans
Great Value.,1,2,3,great value
Doesn't work at all.. I bougth it for my L7c and its not working.,0,14,17,work bougth lc working
"The look of it is very sharp and the screen is nice and clear, with great graphics.",1,17,19,look sharp screen nice clear great graphics
doesn't last long.,0,3,5,last long
One thing I hate is the mode set button at the side.,0,12,13,one thing hate mode set button side
EXCELLENT SERVICE!!!!!!!!.,1,2,11,excellent service
Thank you for wasting my money.,0,6,7,thank wasting money
How can that be?The audio quality is poor.,0,8,11,audio quality poor
The iGo chargers and tips are really great.,1,8,9,igo chargers tips really great
The file browser offers all the options that one needs.Handsfree is great.,1,12,13,file browser offers options one needs handsfree great
Superb Phone on a Great Network.,1,6,7,superb phone great network
"I connected my wife's bluetooth,(Motorola HS850) to my phone and it worked like a charm whether the phone was in my pocket or the case.",1,25,31,connected wife bluetooth motorola hs phone worked like charm whether phone pocket case
"I put the latest OS on it (v1.15g), and it now likes to slow to a crawl and lock up every once in a while.",0,25,29,put latest os v g likes slow crawl lock every
It only recognizes the Phone as its storage device.,0,9,10,recognizes phone storage device
"If you like a loud buzzing to override all your conversations, then this phone is for you!",0,17,19,like loud buzzing override conversations phone
"If you like a loud buzzing to override all your conversations, then this phone is for you!",0,17,19,like loud buzzing override conversations phone
Don't buy this product.,0,4,6,buy product
Don't buy this product.,0,4,6,buy product
I've had this bluetoooth headset for some time now and still not comfortable with the way it fits on the ear.,0,21,23,bluetoooth headset time still comfortable way fits ear
The sound quality is good and functionality is awesome.,1,9,10,sound quality good functionality awesome
"I have this phone and it is a thorn in my side, I really abhor it.",0,16,18,phone thorn side really abhor
I recently had problems where I could not stay connected for more than 10 minutes before being disconnected.,0,18,19,recently problems could stay connected minutes disconnected
Incredible!.,1,1,3,incredible
Design Flaw?.,0,2,4,design flaw
Great phone!.,1,2,4,great phone
Great phone!.,1,2,4,great phone
Waste of 13 bucks.,0,4,5,waste bucks
"But when I check voice mail at night, the keypad backlight turns off a few seconds into the first message, and then I'm lost.",0,24,28,check voice mail night keypad backlight turns seconds first message lost
The replacement died in a few weeks.,0,7,8,replacement died weeks
Any ring tone..Overall good phone to buy..,1,7,10,ring tone overall good phone buy
Lately they have been extremely nice and helpful on the phone.,1,11,12,lately extremely nice helpful phone
I have had problems wit hit dropping signal and more.,0,10,11,problems wit hit dropping signal
Not impressed.,0,2,3,impressed
"Light weight, I hardly notice it is there.",1,8,10,light weight hardly notice
You'll love how thin it is.,1,6,8,love thin
Bad Choice.,0,2,3,bad choice
The pleather case doesn't fit.,0,5,7,pleather case fit
"useless phone, simply deaf.",0,4,6,useless phone simply deaf
"The color is even prettier than I thought it would be, and the graphics are incredibly sharp.",1,17,19,color even prettier thought would graphics incredibly sharp
All in all I think it was a good investment.,1,10,11,think good investment
It makes very strange ticking noises before it ends the call.,0,11,12,makes strange ticking noises ends call
The best electronics of the available FM Transmitters.,1,8,9,best electronics available fm transmitters
Battery lasts only a few hours.,0,6,7,battery lasts hours
"great headset, very impressed - H500.",1,6,8,great headset impressed h
"The ""1.2"" mega pixel camera, being a part of a phone, is reasonably good7.",1,14,19,mega pixel camera part phone reasonably good
I've had this for nearly 2 years and it has worked great for me.,1,14,16,nearly years worked great
Good transmit audio.,1,3,4,good transmit audio
We are sending it back.,0,5,6,sending back
I did not bother contacting the company for few dollar product but I learned the lesson that I should not have bought this form online anyway.,0,26,27,bother contacting company dollar product learned lesson bought form online anyway
"If you hate earbugs, avoid this phone by all means.",0,10,12,hate earbugs avoid phone means
Great price also!,1,3,4,great price also
"The range is very decent, I've been able to roam around my house with the phone in the living room with no reception/sound quality issues.",1,25,28,range decent able roam around house phone living room reception sound quality issues
fast service.,1,2,3,fast service
I would highly recommend this.,1,5,6,would highly recommend
I would recommend this.,1,4,5,would recommend
"I also didn't like the ""on"" button, it felt like it would crack with use.",0,15,20,also like button felt like would crack use
WORST PHONE EVER.,0,3,4,worst phone ever
I'm still infatuated with this phone.,1,6,8,still infatuated phone
Freezes frequently4.,0,2,3,freezes frequently
It's kind of embarrassing to use because of how it looks and mostly it's embarrassing how child-like the company is.,0,20,23,kind embarrassing use looks mostly embarrassing child like company
"Simple, lightweight and great fit.",1,5,7,simple lightweight great fit
"All in all, I'd expected a better consumer experience from Motorola.",0,11,14,expected better consumer experience motorola
There's a horrible tick sound in the background on all my calls that I have never experienced before.,0,18,20,horrible tick sound background calls never experienced
These are certainly very comfortable and functionality is decent.,1,9,10,certainly comfortable functionality decent
I usually don't like headbands but this one is very lightweight & doesn't mess up my hair.,1,17,20,usually like headbands one lightweight mess hair
I'm a bit disappointed.,0,4,6,bit disappointed
"I have had this phone for over a year now, and I will tell you, its not that great.",0,19,22,phone year tell great
I ordered this for sony Ericsson W810i but I think it only worked once (thats when I first used it).,0,20,23,ordered sony ericsson wi think worked thats first used
The battery is completely useless to me.,0,7,8,battery completely useless
What a big waste of time.,0,6,7,big waste time
Don't waste your $$$ on this one.,0,7,11,waste $$$ one
Great sound and service.,1,4,5,great sound service
Really pleased with this product so far.,1,7,8,really pleased product far
One of my favorite purchases ever.,1,6,7,one favorite purchases ever
best bluetooth on the market.,1,5,6,best bluetooth market
Authentic leather with nice shine and comfort .I recommend you this case !!,1,13,14,authentic leather nice shine comfort recommend case
I was very excited to get this headset because I thought it was really cute.,1,15,16,excited get headset thought really cute
Do not make the same mistake as me.,0,8,9,make mistake
Big Disappointment with calendar sync.,0,5,6,big disappointment calendar sync
the phone was unusable and was not new.,0,8,9,phone unusable new
Worst Customer Service Ever.,0,4,5,worst customer service ever
"No additional ear gels provided, and no instructions whatsoever.",0,9,11,additional ear gels provided instructions whatsoever
It defeats the purpose of a bluetooth headset.,0,8,9,defeats purpose bluetooth headset
Worth every penny.,1,3,4,worth every penny
Excellent wallet type phone case.,1,5,6,excellent wallet type phone case
Nice headphones for the price and they work great!,1,9,10,nice headphones price work great
Internet is excrutiatingly slow.,0,4,5,internet excrutiatingly slow
"It is very comfortable to wear as well, which is probably the most important aspect about using a case.",1,19,21,comfortable wear well probably important aspect using case
"It's fits like a glove and is strong, secure, and durable.",1,11,15,fits like glove strong secure durable
O my gosh the best phone I have ever had.,1,10,11,gosh best phone ever
It's very attractive and appears to be of good quality.,1,10,12,attractive appears good quality
I love all the features and form factor.,1,8,9,love features form factor
This product had a strong rubber/petroleum smell that was unbearable after a while and caused me to return it,0,19,19,product strong rubber petroleum smell unbearable caused return
poor quality and service.,0,4,5,poor quality service
"The cable looks so thin and flimsy, it is scary.",0,10,12,cable looks thin flimsy scary
Great Earpiece.,1,2,3,great earpiece
Excellent hands free tool.,1,4,5,excellent hands free tool
Great for using with your home stereo.,1,7,8,great using home stereo
Good product - incredible value.,1,5,6,good product incredible value
Only had this a month but it's worked flawlessly so far.,1,11,13,month worked flawlessly far
Works great.,1,2,3,works great
Works great.,1,2,3,works great
Absolutel junk.,0,2,3,absolutel junk
THAT one didn't work either.,0,5,7,one work either
Battery life is real good.,1,5,6,battery life real good
Returned 8 hours later.,0,4,5,returned hours later
It's a great item.,1,4,6,great item
Don't waste your money!.,0,4,7,waste money
Love this headset!,1,3,4,love headset
"Not only will it drain your player, but may also potentially fry it.",0,13,15,drain player may also potentially fry
Worked perfectly!,1,2,3,worked perfectly
Unreliable - I'm giving up.,0,5,7,unreliable giving
I gave it 5 stars because of the sound quality.,1,10,11,gave stars sound quality
Avoid this one if you can.,0,6,7,avoid one
Reversible plug works great.,1,4,5,reversible plug works great
I wasted my little money with this earpiece.,0,8,9,wasted little money earpiece
Very good phone.,1,3,4,good phone
"Best of all is the rotating feature, very helpful.",1,9,11,best rotating feature helpful
Comfort for our whole family.,1,5,6,comfort whole family
"Good product, good seller.",1,4,6,good product good seller
I love this bluetooth!,1,4,5,love bluetooth
"First of all, it doesn't wear well.",0,7,10,first wear well
I am very impressed with this headset from Plantronics.,1,9,10,impressed headset plantronics
I got it because it was so small and adorable.,1,10,11,got small adorable
I wouldn't recommend buying this product.,0,6,8,recommend buying product
Piece of Junk.,0,3,4,piece junk
Poorly contstruct hinge.,0,3,4,poorly contstruct hinge
"This item is great, installed it, let it charged up overnite and it has been working good every since with no problems",1,22,24,item great installed let charged overnite working good every since problems
Great Phone.,1,2,3,great phone
Great Phone.,1,2,3,great phone
Don't buy it.,0,3,5,buy
Excellent Phone.,1,2,3,excellent phone
DO NOT PURCHASE THIS PHONE.,0,5,6,purchase phone
The voice recognition thru the handset is excellent.,1,8,9,voice recognition thru handset excellent
This is hands down the best phone I've ever had.,1,10,12,hands best phone ever
"Works great, when my cat attacked the phone he scratched the protective strip instead of destroying the screen.",1,18,20,works great cat attacked phone scratched protective strip instead destroying screen
This one works and was priced right.,1,7,8,one works priced right
Customer service was terrible.,0,4,5,customer service terrible
Battery life still not long enough in Motorola Razor V3i.,0,10,11,battery life still long enough motorola razor vi
Sending it back.,0,3,4,sending back
Now I know that I made a wise decision.,1,9,10,know made wise decision
Someone shouldve invented this sooner.,1,5,6,someone shouldve invented sooner
Good price.,1,2,3,good price
Everything worked on the first try.The device was certainly engineered in a clever way and the construction feels good.,1,19,20,everything worked first try device certainly engineered clever way construction feels good
I received it quickly and it works great!!,1,8,10,received quickly works great
Has been working great.,1,4,5,working great
"As many people complained, I found this headset's microphone was very weak.",0,12,15,many people complained found headset microphone weak
My 5-year old Nokia 2160 from Tracfone holds the charge a lot better than this.,0,15,16,year old nokia tracfone holds charge lot better
They do not care about the consumer one bit.,0,9,10,care consumer one bit
"This is a good battery, and it got here really fast.",1,11,13,good battery got really fast
The instruction manual is lacking.,0,5,6,instruction manual lacking
Also its slim enough to fit into my alarm clock docking station without removing the case.,1,16,17,also slim enough fit alarm clock docking station without removing case
Phone now holds charge like it did when it was new.,1,11,12,phone holds charge like new
The battery is unreliable as well as the service use antena.,0,11,12,battery unreliable well service use antena
It's uncomfortable and the sound quality is quite poor compared with the phone (Razr) or with my previous wired headset (that plugged into an LG).,0,25,31,uncomfortable sound quality quite poor compared phone razr previous wired headset plugged lg
We have gotten a lot of compliments on it.,1,9,10,gotten lot compliments
This is definitely a must have if your state does not allow cell phone usage while driving.,1,17,18,definitely must state allow cell phone usage driving
I want my money back.,0,5,6,want money back
I love this device.,1,4,5,love device
I am also very happy with the price.,1,8,9,also happy price
I ordered this product first and was unhappy with it immediately.,0,11,12,ordered product first unhappy immediately
The Ngage is still lacking in earbuds.,0,7,8,ngage still lacking earbuds
I was able to do voice dialing in the car with no problem.,1,13,14,able voice dialing car problem
"I have 2-3 bars on my cell phone when I am home, but you cant not hear anything.",0,18,20,bars cell phone home cant hear anything
"good item, low price.",1,4,6,good item low price
"However-the riingtones are not the best, and neither are the games.",0,11,13,however riingtones best neither games
The plug did not work very well.,0,7,8,plug work well
AMAZON SUCKS.,0,2,3,amazon sucks
Rip off---- Over charge shipping.,0,5,8,rip charge shipping
VERY comfortable.,1,2,3,comfortable
The battery is working well as a replacement for the original that came with the phone over 2 years ago.,1,20,21,battery working well replacement original came phone years ago
The reception is excellent!,1,4,5,reception excellent
"It fits comfortably in either ear, the sound is clear and loud, and the charge lasts a couple of days.",1,20,23,fits comfortably either ear sound clear loud charge lasts couple days
"very clear, quality sound and you don't have to mess with the sound on your iPod since you have the sound buttons on the headset.",1,25,28,clear quality sound mess sound ipod since sound buttons headset
1. long lasting battery (you don't have to recharge it as frequentyly as some of the flip phones)2.,0,18,23,long lasting battery recharge frequentyly flip phones
Obviously there is a problem with the adhesive.,0,8,9,obviously problem adhesive
Very disappointing.,0,2,3,disappointing
"It was an inexpensive piece, but I would still have expected better quality.",0,13,15,inexpensive piece would still expected better quality
It is practically useless and did not add any kind of boost to my reception after I bought it.,0,19,20,practically useless add kind boost reception bought
Excellent sound quality.,1,3,4,excellent sound quality
Was not happy.,0,3,4,happy
A PIECE OF JUNK THAT BROKE AFTER BEING ON MY PHONE FOR 2 DAYS!!!,0,14,17,piece junk broke phone days
New Battery works great in phone.,1,6,7,new battery works great phone
Worst customer service.,0,3,4,worst customer service
"I've dropped my phone more times than I can say, even on concrete and my phone is still great (knock on wood!).",1,22,28,dropped phone times say even concrete phone still great knock wood
Reception is terrible and full of static.,0,7,8,reception terrible full static
Good audio quality.,1,3,4,good audio quality
This little device has transformed my organizational capability and made my life a whole lot easier.,1,16,17,little device transformed organizational capability made life whole lot easier
"I was sitting in my vehicle, with the cradle on my belt, and the headset lost signal.",0,17,20,sitting vehicle cradle belt headset lost signal
Were JERKS on the phone.,0,5,6,jerks phone
Works like a charm.. Works as advertised.,1,7,9,works like charm works advertised
"Comfortable, Nice Range, Good Battery Life.",1,6,9,comfortable nice range good battery life
Their network coverage in Los Angeles is horrible.,0,8,9,network coverage los angeles horrible
Excellent starter wireless headset.,0,4,5,excellent starter wireless headset
"The loudspeaker option is great, the bumpers with the lights is very ... appealing.",0,14,16,loudspeaker option great bumpers lights appealing
The only thing that I think could improve is the sound leaks out from the headset.,0,16,17,thing think could improve sound leaks headset
"First off the reception sucks, I have never had more than 2 bars, ever.",0,14,17,first reception sucks never bars ever
The phone gets EXTREMELY HOT!,0,5,6,phone gets extremely hot
"The microphone also works well, but (according to people I have called) it applifies everything.",1,15,19,microphone also works well according people called applifies everything
Nice design and quality.,1,4,5,nice design quality
"Also, if your phone is dropped, this case is not going to save it, specially when dropped face down.",0,19,23,also phone dropped case going save specially dropped face
"It is light, easy to use, and has very clear reception and transmission.",1,13,16,light easy use clear reception transmission
"bad fit, way too big.",0,5,7,bad fit way big
It definitely was not as good as my S11.,1,9,10,definitely good
awesome device.,1,2,3,awesome device
Waste of money.,0,3,4,waste money
"I had ordered a motorola data cable, got a very well finished and working product.",1,15,17,ordered motorola data cable got well finished working product
Love This Phone.,1,3,4,love phone
I was looking for this headset for a long time and now that I've got it I couldn't be happier.,1,20,23,looking headset long time got happier
"I'll be drivng along, and my headset starts ringing for no reason.",0,12,15,drivng along headset starts ringing reason
Display is excellent and camera is as good as any from that year.,1,13,14,display excellent camera good year
Battery life is also great!,1,5,6,battery life also great
The worst phone I've ever had.... Only had it for a few months.,0,13,16,worst phone ever months
Not a good item.. It worked for a while then started having problems in my auto reverse tape player.,0,19,21,good item worked started problems auto reverse tape player
This is so embarassing and also my ears hurt if I try to push the ear plug into my ear.,0,20,21,embarassing also ears hurt try push ear plug ear
Protects the phone on all sides.,1,6,7,protects phone sides
This is a VERY average phone with bad battery life that operates on a weak network.,0,16,17,average phone bad battery life operates weak network
"Clear Skype Calls, Long Battery Life, Long Range.",1,8,11,clear skype calls long battery life long range
Soyo technology sucks.,0,3,4,soyo technology sucks
Great Hands Free Device.,1,4,5,great hands free device
"you can even take self portraits with the outside (exterior) display, very cool.",1,13,17,even take self portraits outside exterior display cool
Same problem as others have mentioned.,0,6,7,problem others mentioned
After trying many many handsfree gadgets this is the one that finally works well.,1,14,15,trying many many handsfree gadgets one finally works well
Magical Help.,1,2,3,magical help
The worst piece of crap ever along with the Verizon customer service.,0,12,13,worst piece crap ever along verizon customer service
Poor sound quality.,0,3,4,poor sound quality
The best phone in market :).,1,6,8,best phone market
It worked very well.,1,4,5,worked well
The company shipped my product very promptly and it works well.,1,11,12,company shipped product promptly works well
Exactly what I wanted.,1,4,5,exactly wanted
The picture resolution is far below what other comparably-priced phones are offering today.,0,13,14,picture resolution far comparably priced phones offering today
This is a great deal.,1,5,6,great deal
This is a great deal.,1,5,6,great deal
"Excellent product, I am very satisfied with the purchase.",1,9,11,excellent product satisfied purchase
I highly recommend these and encourage people to give them a try.,1,12,13,highly recommend encourage people give try
Better than you'd expect.,1,4,6,better expect
